State;Obama;Romney
Alabama;36;54
Alaska;38;58
Arizona;44;42
Arkansas;35;56
California;53;39
Colorado;50;47
Connecticut;53;47
D.C.;90;10
Delaware;62;37
Florida;46;51
Georgia;44;51
Hawaii;62;30
Idaho;22;68
Illinois;55;36
Indiana;41;54
Iowa;47;48
Kansas;42;57
Kentucky;39;53
Louisiana;36;50
Maine;51;37
Maryland;60;36
Massachusetts;57;39
Michigan;52;46
Minnesota;50;40
Mississippi;43;51
Missouri;44;54
Montana;44;53
Nebraska;40;51
Nevada;50;47
New Hampshire;48;49
New Jersey;54;40
New Mexico;49;39
New York;62;34
North Carolina;46;52
North Dakota;40;54
Ohio;49;48
Oklahoma;29;58
Oregon;49;42
Pennsylvania;50;45
Rhode Island;57;33
South Carolina;40;46
South Dakota;41;52
Tennessee;40;46
Texas;39;58
Utah;26;69
Vermont;62;26
Virginia;49;50
Washington;50;45
West Virginia;38;52
Wisconsin;50;48
Wyoming;34;65
